73 11032 46122
0 0     1.224100e+02 6.554999e+01
1 0     1.233900e+02 6.003003e+01
4 0     1.226800e+02 7.053998e+01
8 0     1.269600e+02 7.732001e+01
20 0     1.372900e+02 9.367999e+01
38 0     1.491600e+02 1.099000e+02
47 0     1.535900e+02 1.145900e+02
56 0     1.585000e+02 1.200600e+02
0 1     -3.838000e+01 1.638200e+02
1 1     -2.525000e+01 1.467700e+02
2 1     -4.556000e+01 1.730500e+02
3 1     -3.189999e+01 1.543300e+02
4 1     -5.129999e+01 1.835400e+02
5 1     -2.407999e+01 1.379100e+02
6 1     -5.717999e+01 1.940200e+02
7 1     -2.182001e+01 1.321900e+02
8 1     -6.385001e+01 2.075700e+02
9 1     -7.187000e+01 2.219100e+02
10 1     -2.019000e+01 1.193800e+02
11 1     -2.047000e+01 1.262300e+02
12 1     -8.632999e+01 2.520500e+02
13 1     -1.851001e+01 1.149700e+02
15 1     -9.385001e+01 2.683800e+02
17 1     -1.132900e+02 3.111600e+02
20 1     -1.032700e+02 2.887300e+02
33 1     -1.374500e+02 3.611100e+02
35 1     -1.231800e+02 3.360500e+02
38 1     -1.550900e+02 3.990700e+02
47 1     -1.767300e+02 4.384000e+02
56 1     -1.996000e+02 4.877100e+02
70 1     -2.237400e+02 5.385600e+02
0 2     1.260300e+02 4.871002e+01
1 2     1.256600e+02 4.701001e+01
3 2     1.261200e+02 4.890002e+01
5 2     1.207400e+02 4.460999e+01
7 2     1.161000e+02 4.427002e+01
10 2     1.078600e+02 4.048999e+01
11 2     1.121900e+02 4.306000e+01
13 2     1.048500e+02 3.895001e+01
16 2     9.676001e+01 3.626001e+01
22 2     1.007200e+02 3.742999e+01
30 2     9.035999e+01 3.540997e+01
34 2     8.295999e+01 3.496002e+01
39 2     8.435001e+01 3.484003e+01
43 2     8.039001e+01 3.379999e+01
45 2     8.957001e+01 3.403998e+01
60 2     9.503000e+01 3.484998e+01
64 2     9.823001e+01 3.460999e+01
0 3     1.170100e+02 9.019000e+01
1 3     1.186300e+02 8.329999e+01
4 3     1.166600e+02 9.620999e+01
6 3     1.181400e+02 9.979001e+01
8 3     1.205100e+02 1.050400e+02
9 3     1.219300e+02 1.096900e+02
12 3     1.264600e+02 1.178500e+02
20 3     1.297500e+02 1.269000e+02
33 3     1.370000e+02 1.417000e+02
35 3     1.346800e+02 1.370100e+02
0 4     -2.332999e+01 9.144000e+01
1 4     -1.404999e+01 8.514001e+01
2 4     -2.857999e+01 9.432001e+01
3 4     -1.864001e+01 8.757001e+01
6 4     -3.579999e+01 1.016000e+02
0 5     1.787500e+02 2.415997e+01
1 5     1.750200e+02 2.017999e+01
0 6     1.022900e+02 8.660001e+01
1 6     1.048500e+02 7.997000e+01
2 6     1.007600e+02 8.914001e+01
3 6     1.037900e+02 8.331000e+01
4 6     1.012800e+02 9.295999e+01
5 6     1.010100e+02 7.592999e+01
6 6     1.026000e+02 9.613000e+01
7 6     9.798001e+01 7.394000e+01
8 6     1.040100e+02 1.008500e+02
10 6     9.106000e+01 6.828003e+01
11 6     9.498001e+01 7.140002e+01
12 6     1.085300e+02 1.131100e+02
13 6     8.881000e+01 6.628998e+01
15 6     1.100400e+02 1.166000e+02
16 6     8.159000e+01 6.148999e+01
17 6     1.127300e+02 1.268600e+02
20 6     1.112000e+02 1.219900e+02
22 6     8.501001e+01 6.394000e+01
30 6     7.579001e+01 5.929999e+01
34 6     6.889001e+01 5.738000e+01
35 6     1.150000e+02 1.319200e+02
39 6     7.094000e+01 5.514001e+01
43 6     6.695999e+01 5.477002e+01
45 6     7.632001e+01 5.285999e+01
70 6     1.317800e+02 1.623000e+02
0 7     2.776500e+02 -1.007001e+01
1 7     2.424300e+02 -1.244000e+01
2 7     3.030100e+02 -9.500000e+00
3 7     2.606000e+02 -9.500000e+00
4 7     3.299500e+02 -8.679993e+00
5 7     2.233200e+02 -1.314001e+01
6 7     3.651300e+02 -1.009998e+01
7 7     2.080000e+02 -1.317999e+01
10 7     1.821700e+02 -1.284003e+01
11 7     1.944300e+02 -1.257001e+01
13 7     1.721000e+02 -1.245001e+01
16 7     1.522300e+02 -1.282001e+01
22 7     1.615100e+02 -1.263000e+01
30 7     1.413100e+02 -1.306000e+01
34 7     1.304300e+02 -1.317999e+01
39 7     1.270700e+02 -1.245001e+01
43 7     1.251100e+02 -1.403003e+01
45 7     1.295300e+02 -1.354999e+01
54 7     -1.055200e+02 -4.390015e+00
60 7     1.331900e+02 -1.254999e+01
61 7     -6.204001e+01 -3.030029e+00
64 7     1.341900e+02 -1.229999e+01
67 7     -1.449800e+02 -5.260010e+00
0 8     1.648900e+02 1.228200e+02
1 8     1.599000e+02 1.109400e+02
2 8     1.672200e+02 1.286800e+02
3 8     1.625500e+02 1.165100e+02
4 8     1.717400e+02 1.357300e+02
5 8     1.520700e+02 1.042200e+02
6 8     1.777800e+02 1.423800e+02
7 8     1.462700e+02 9.894000e+01
8 8     1.835900e+02 1.532200e+02
9 8     1.909600e+02 1.614500e+02
10 8     1.340100e+02 8.994000e+01
11 8     1.404100e+02 9.442999e+01
12 8     2.088700e+02 1.813100e+02
13 8     1.299300e+02 8.617999e+01
14 8     1.998700e+02 1.702100e+02
15 8     2.182200e+02 1.910800e+02
16 8     1.189400e+02 7.862000e+01
17 8     2.377900e+02 2.183300e+02
20 8     2.274700e+02 2.046800e+02
22 8     1.241200e+02 8.235999e+01
30 8     1.112300e+02 7.545001e+01
34 8     1.029200e+02 7.257001e+01
35 8     2.495300e+02 2.331700e+02
38 8     2.749600e+02 2.742900e+02
39 8     1.024500e+02 6.829999e+01
43 8     9.937000e+01 6.891998e+01
45 8     1.068700e+02 6.503998e+01
60 8     1.114400e+02 6.412000e+01
64 8     1.138600e+02 6.176001e+01
0 9     1.233900e+02 5.039978e+00
1 9     1.243700e+02 4.119995e+00
2 9     1.218500e+02 4.940002e+00
3 9     1.247500e+02 4.710022e+00
4 9     1.221500e+02 5.440002e+00
5 9     1.200800e+02 3.469971e+00
6 9     1.234900e+02 5.780029e+00
7 9     1.159300e+02 3.690002e+00
8 9     1.257100e+02 8.000000e+00
9 9     1.281200e+02 9.729980e+00
10 9     1.080400e+02 3.130005e+00
11 9     1.118500e+02 4.020020e+00
12 9     1.339400e+02 1.004999e+01
13 9     1.051200e+02 3.349976e+00
14 9     1.317800e+02 9.489990e+00
15 9     1.367100e+02 9.659973e+00
16 9     9.734000e+01 2.489990e+00
17 9     1.392800e+02 1.123999e+01
20 9     1.382700e+02 1.078003e+01
22 9     1.012200e+02 2.929993e+00
30 9     9.145001e+01 1.690002e+00
34 9     8.382001e+01 1.489990e+00
35 9     1.401400e+02 1.151001e+01
38 9     1.492600e+02 1.527002e+01
39 9     8.479001e+01 1.880005e+00
43 9     8.089001e+01 8.300171e-01
45 9     8.951999e+01 1.140015e+00
47 9     1.556500e+02 1.320001e+01
56 9     1.602800e+02 1.376001e+01
60 9     9.520999e+01 1.210022e+00
64 9     9.764999e+01 1.390015e+00
70 9     1.676100e+02 1.504999e+01
0 10     1.582900e+02 -4.859985e+00
1 10     1.542600e+02 -6.140015e+00
3 10     1.567200e+02 -5.150024e+00
5 10     1.474600e+02 -7.869995e+00
7 10     1.417000e+02 -8.059998e+00
10 10     1.314300e+02 -8.690002e+00
11 10     1.367300e+02 -7.609985e+00
13 10     1.271400e+02 -8.520020e+00
16 10     1.169000e+02 -9.359985e+00
22 10     1.219400e+02 -8.880005e+00
30 10     1.097200e+02 -9.679993e+00
34 10     1.015700e+02 -9.950012e+00
39 10     1.016200e+02 -9.690002e+00
43 10     9.838000e+01 -1.083002e+01
45 10     1.061000e+02 -1.082001e+01
55 10     -3.862300e+02 7.409973e+00
60 10     1.113500e+02 -1.007001e+01
64 10     1.139400e+02 -1.015997e+01
66 10     -3.109700e+02 1.337000e+01
68 10     -3.389600e+02 1.139001e+01
69 10     -2.566400e+02 1.444000e+01
70 10     2.844700e+02 1.046002e+01
71 10     -2.806600e+02 1.496002e+01
0 11     2.421300e+02 -8.798999e+01
1 11     1.990600e+02 -7.214001e+01
2 11     2.727800e+02 -1.009900e+02
3 11     2.184600e+02 -7.839001e+01
4 11     3.178700e+02 -1.176400e+02
5 11     1.793000e+02 -6.671002e+01
7 11     1.636500e+02 -6.165997e+01
10 11     1.401400e+02 -5.394000e+01
11 11     1.507100e+02 -5.692999e+01
16 11     1.133000e+02 -4.562000e+01
